編碼,中文名,學名,亞種小名,英文名,科名,"臺灣地區遷徙屬性
（蘭嶼：蘭、綠島：綠、
龜山島：龜、本島局部地區：局）",馬祖地區遷徙屬性,金門地區遷徙屬性,東沙島遷徙屬性,特有性,臺灣保育等級
388,阿穆爾綬帶,Terpsiphone incei,無亞種分化,Amur Paradise-Flycatcher,王鶲科 Monarchidae,過、稀,過、不普,過、稀,過、稀,,
389,虎紋伯勞,Lanius tigrinus,無亞種分化,Tiger Shrike,伯勞科 Laniidae,迷,過、稀,過、稀,過、稀,,
390,紅頭伯勞,Lanius bucephalus,bucephalus,Bull-headed Shrike,伯勞科 Laniidae,冬、稀,過、稀,過、稀,冬、稀,,
391,紅背伯勞,Lanius collurio,無亞種分化,Red-backed Shrike,伯勞科 Laniidae,迷,迷,迷,無,,
392,荒漠伯勞,Lanius isabellinus,isabellinus,Isabelline Shrike,伯勞科 Laniidae,無,無,迷,無,,
393,紅尾伯勞,Lanius cristatus,"cristatus, confusus, lucionensis, superciliosus",Brown Shrike,伯勞科 Laniidae,冬、普/過、普,過、普,冬、稀/過、不普,冬、稀/過、普,,III
394,栗背伯勞,Lanius collurioides,collurioides,Burmese Shrike,伯勞科 Laniidae,迷,無,無,無,,
395,棕背伯勞,Lanius schach,schach,Long-tailed Shrike,伯勞科 Laniidae,留、普,留、稀/過、不普,留、普,過、稀,,
396,灰背伯勞,Lanius tephronotus,tephronotus,Gray-backed Shrike,伯勞科 Laniidae,迷,無,無,無,,
397,西方灰伯勞,Lanius excubitor,pallidirostris,Great Gray Shrike,伯勞科 Laniidae,迷,無,無,無,,
398,楔尾伯勞,Lanius sphenocercus,無亞種分化,Chinese Gray Shrike,伯勞科 Laniidae,冬、稀,過、稀,過、稀,無,,
399,松鴉,Garrulus glandarius,taivanus,Eurasian Jay,鴉科 Corvidae,留、普,無,無,無,臺灣特有亞種(G. g. taivanus),
400,灰喜鵲,Cyanopica cyanus,?,Azure-winged Magpie,鴉科 Corvidae,引進種、稀,迷,無,無,,
401,臺灣藍鵲,Urocissa caerulea,無亞種分化,Taiwan Blue-Magpie,鴉科 Corvidae,留、普,無,無,無,臺灣特有種,III
402,樹鵲,Dendrocitta formosae,"formosae, sinica",Gray Treepie,鴉科 Corvidae,留、普,迷,迷,無,含臺灣特有亞種(D. f. formosae),
403,喜鵲,Pica serica,無亞種分化,Oriental Magpie,鴉科 Corvidae,引進種、普,過、稀,留、普,無,,
404,星鴉,Nucifraga caryocatactes,owstoni,Eurasian Nutcracker,鴉科 Corvidae,留、普,無,無,無,臺灣特有亞種(N. c. owstoni),
405,東方寒鴉,Corvus dauuricus,無亞種分化,Daurian Jackdaw,鴉科 Corvidae,迷,無,冬、稀,無,,
406,禿鼻鴉,Corvus frugilegus,pastinator,Rook,鴉科 Corvidae,冬、稀,過、稀,冬、稀,迷,,
407,小嘴烏鴉,Corvus corone,orientalis,Carrion Crow,鴉科 Corvidae,冬、稀,過、稀,冬、稀,無,,
408,巨嘴鴉,Corvus macrorhynchos,colonorum,Large-billed Crow,鴉科 Corvidae,留、普,迷,冬、稀,無,,
409,玉頸鴉,Corvus pectoralis,無亞種分化,Collared Crow,鴉科 Corvidae,無,無,留、不普,無,,
410,方尾鶲,Culicicapa ceylonensis,calochrysea,Gray-headed Canary-Flycatcher,細嘴鶲科 Stenostiridae,迷,迷,無,無,,
411,煤山雀,Periparus ater,ptilosus,Coal Tit,山雀科 Paridae,留、普,無,無,無,臺灣特有亞種(P. a. ptilosus),III
412,黃腹山雀,Periparus venustulus,無亞種分化,Yellow-bellied Tit,山雀科 Paridae,迷,過、稀,迷,無,,
413,赤腹山雀,Sittiparus castaneoventris,無亞種分化,Chestnut-bellied Tit,山雀科 Paridae,留、不普,無,無,無,臺灣特有種,II
414,雜色山雀,Sittiparus varius,varius,Varied Tit,山雀科 Paridae,迷,迷,無,無,,
415,青背山雀,Parus monticolus,insperatus,Green-backed Tit,山雀科 Paridae,留、普,無,無,無,臺灣特有亞種(P. m. insperatus),III
416,白頰山雀,Parus minor,commixtus,Japanese Tit,山雀科 Paridae,迷,留、稀,迷,無,,
417,黃山雀,Machlolophus holsti,無亞種分化,Taiwan Yellow Tit,山雀科 Paridae,留、不普,無,無,無,臺灣特有種,II
418,攀雀,Remiz consobrinus,無亞種分化,Chinese Penduline-Tit,攀雀科 Remizidae,迷,過、稀,冬、稀,無,,
419,賽氏短趾百靈,Calandrella dukhunensis,無亞種分化,Mongolian Short-toed Lark,百靈科 Alaudidae,迷,迷,無,無,,
420,亞洲短趾百靈,Alaudala cheleensis,cheleensis,Asian Short-toed Lark,百靈科 Alaudidae,迷,迷,無,無,,
421,歐亞雲雀,Alauda arvensis,intermedia,Eurasian Skylark,百靈科 Alaudidae,冬、稀,過、稀,冬、不普,過、稀,,
422,小雲雀,Alauda gulgula,"wattersi, coelivox",Oriental Skylark,百靈科 Alaudidae,留、普,過、稀,留、不普,無,,
423,斑紋鷦鶯,Prinia striata,striata,Striped Prinia,扇尾鶯科 Cisticolidae,留、不普,無,無,無,臺灣特有亞種(P. s. striata),
424,灰頭鷦鶯,Prinia flaviventris,sonitans,Yellow-bellied Prinia,扇尾鶯科 Cisticolidae,留、普,留、不普,留、普,無,,
425,褐頭鷦鶯,Prinia inornata,"flavirostris, extensicauda",Plain Prinia,扇尾鶯科 Cisticolidae,留、普,留、稀,留、普,無,含臺灣特有亞種(P. i. flavirostris),
426,棕扇尾鶯,Cisticola juncidis,tinnabulans,Zitting Cisticola,扇尾鶯科 Cisticolidae,留、普,過、不普,冬、稀/過、不普,過、稀,,
427,黃頭扇尾鶯,Cisticola exilis,volitans,Golden-headed Cisticola,扇尾鶯科 Cisticolidae,留、不普,無,迷,過、稀,臺灣特有亞種(C. e. volitans),
428,厚嘴葦鶯,Arundinax aedon,rufescens,Thick-billed Warbler,葦鶯科 Acrocephalidae,迷,迷,迷,無,,
429,靴籬鶯,Iduna caligata,無亞種分化,Booted Warbler,葦鶯科 Acrocephalidae,迷,無,無,迷,,
430,雙眉葦鶯,Acrocephalus bistrigiceps,無亞種分化,Black-browed Reed Warbler,葦鶯科 Acrocephalidae,冬、稀/過、稀,過、稀,過、稀,迷,,
431,細紋葦鶯,Acrocephalus sorghophilus,無亞種分化,Streaked Reed Warbler,葦鶯科 Acrocephalidae,迷,過、稀,無,無,,
432,稻田葦鶯,Acrocephalus agricola,無亞種分化,Paddyfield Warbler,葦鶯科 Acrocephalidae,迷,無,無,無,,
433,鈍翅葦鶯,Acrocephalus concinens,concinens,Blunt-winged Warbler,葦鶯科 Acrocephalidae,無,迷,無,無,,
434,遠東葦鶯,Acrocephalus tangorum,無亞種分化,Manchurian Reed Warbler,葦鶯科 Acrocephalidae,迷,無,無,無,,
435,布氏葦鶯,Acrocephalus dumetorum,無亞種分化,Blyth's Reed Warbler,葦鶯科 Acrocephalidae,迷,無,無,無,,
436,東方大葦鶯,Acrocephalus orientalis,無亞種分化,Oriental Reed Warbler,葦鶯科 Acrocephalidae,冬、普,過、不普,冬、稀/過、不普,過、不普,,
437,蒼眉蝗鶯,Helopsaltes fasciolatus,無亞種分化,Gray's Grasshopper Warbler,蝗鶯科 Locustellidae,過、稀,無,過、稀,過、稀,,
438,庫頁島蝗鶯,Helopsaltes amnicola,無亞種分化,Sakhalin Grasshopper Warbler,蝗鶯科 Locustellidae,過、稀,無,無,無,,
439,小蝗鶯,Helopsaltes certhiola,certhiola,Pallas's Grasshopper Warbler,蝗鶯科 Locustellidae,過、稀,過、稀,無,迷,,
440,北蝗鶯,Helopsaltes ochotensis,"ochotensis(?), subcerthiola(?)",Middendorff's Grasshopper Warbler,蝗鶯科 Locustellidae,冬、稀/過、不普,過、稀,過、稀,過、稀,,
441,史氏蝗鶯,Helopsaltes pleskei,無亞種分化,Pleske's Grasshopper Warbler,蝗鶯科 Locustellidae,過、稀,無,無,無,,
442,矛斑蝗鶯,Locustella lanceolata,無亞種分化,Lanceolated Warbler,蝗鶯科 Locustellidae,過、不普,過、稀,過、稀,過、稀,,
443,臺灣叢樹鶯,Locustella alishanensis,無亞種分化,Taiwan Bush Warbler,蝗鶯科 Locustellidae,留、普,無,無,無,臺灣特有種,
444,赤褐蝗鶯,Locustella mandelli,melanorhyncha(?),Russet Bush Warbler,蝗鶯科 Locustellidae,無,無,冬、稀,無,,
445,臺灣鷦眉,Pnoepyga formosana,無亞種分化,Taiwan Cupwing,鷦眉科 Pnoepygidae,留、普,無,無,無,臺灣特有種,
446,棕沙燕,Riparia chinensis,chinensis,Gray-throated Martin,燕科 Hirundinidae,留、普,迷,?,過、稀,,
447,灰沙燕,Riparia riparia,ijimae,Bank Swallow,燕科 Hirundinidae,過、稀,過、不普,過、稀,過、不普,,
448,家燕,Hirundo rustica,"gutturalis, mandschurica, tytleri(?)",Barn Swallow,燕科 Hirundinidae,夏、普/冬、普/過、普,夏、普/過、普,夏、普/冬、稀/過、普,冬、稀/過、普,,
449,洋燕,Hirundo tahitica,"namiyei, javanica",Pacific Swallow,燕科 Hirundinidae,留、普,過、稀,留、稀/過、稀,迷,,
450,金腰燕,Cecropis daurica,japonica,Red-rumped Swallow,燕科 Hirundinidae,過、稀,夏、稀/過、不普,冬、稀/過、稀,過、不普,,
451,赤腰燕,Cecropis striolata,striolata,Striated Swallow,燕科 Hirundinidae,留、普,無,?,無,,
452,白腹毛腳燕,Delichon urbicum,lagopodum,Common House-Martin,燕科 Hirundinidae,迷,迷,迷,迷,,
453,東方毛腳燕,Delichon dasypus,"nigrimentale, dasypus",Asian House-Martin,燕科 Hirundinidae,留、不普,過、不普,迷,過、稀,,
454,白環鸚嘴鵯,Spizixos semitorques,"cinereicapillus, semitorques",Collared Finchbill,鵯科 Pycnonotidae,留、普,迷,無,無,含臺灣特有亞種(S. s. cinereicapillus),
455,烏頭翁,Pycnonotus taivanus,無亞種分化,Styan's Bulbul,鵯科 Pycnonotidae,留、局普,無,無,無,臺灣特有種,II
456,白頭翁,Pycnonotus sinensis,"formosae, sinensis",Light-vented Bulbul,鵯科 Pycnonotidae,留、普,留、普,留、普,過、不普,含臺灣特有亞種(P. s. formosae),
457,白喉紅臀鵯,Pycnonotus aurigaster,chrysorrhoides,Sooty-headed Bulbul,鵯科 Pycnonotidae,無,無,留、稀?/過、稀,無,,
458,紅嘴黑鵯,Hypsipetes leucocephalus,"nigerrimus, leucocephalus, ?",Black Bulbul,鵯科 Pycnonotidae,留、普,留、不普/過、稀,留、稀/冬、稀/過、稀,迷,含臺灣特有亞種(H. l. nigerrimus),
459,棕耳鵯,Hypsipetes amaurotis,"harterti, amaurotis",Brown-eared Bulbul,鵯科 Pycnonotidae,留、蘭綠龜普/過、稀,過、稀,迷,過、稀,含蘭嶼特有亞種(H. a. harterti),
460,栗背短腳鵯,Hemixos castanonotus,canipennis,Chestnut Bulbul,鵯科 Pycnonotidae,無,過、稀,留、稀/冬、稀/過、稀,無,,
461,林柳鶯,Phylloscopus sibilatrix,無亞種分化,Wood Warbler,柳鶯科 Phylloscopidae,迷,無,無,無,,
462,黃眉柳鶯,Phylloscopus inornatus,無亞種分化,Yellow-browed Warbler,柳鶯科 Phylloscopidae,冬、普,冬、不普/過、普,冬、普,冬、普/過、普,,
463,淡眉柳鶯,Phylloscopus humei,?,Hume's Warbler,柳鶯科 Phylloscopidae,無,迷,無,無,,
464,雲南柳鶯,Phylloscopus yunnanensis,無亞種分化,Chinese Leaf Warbler,柳鶯科 Phylloscopidae,無,迷,無,無,,
465,黃腰柳鶯,Phylloscopus proregulus,無亞種分化,Pallas's Leaf Warbler,柳鶯科 Phylloscopidae,冬、稀/過、不普,過、不普,冬、不普,過、稀,,
466,巨嘴柳鶯,Phylloscopus schwarzi,無亞種分化,Radde's Warbler,柳鶯科 Phylloscopidae,過、稀,過、稀,過、稀,過、不普,,
467,棕眉柳鶯,Phylloscopus armandii,armandii,Yellow-streaked Warbler,柳鶯科 Phylloscopidae,迷,迷,無,無,,
468,黃腹柳鶯,Phylloscopus affinis,occisinensis(?),Tickell's Leaf Warbler,柳鶯科 Phylloscopidae,無,迷,無,無,,
469,褐色柳鶯,Phylloscopus fuscatus,fuscatus,Dusky Warbler,柳鶯科 Phylloscopidae,冬、稀/過、稀,過、不普,冬、普,過、不普,,
470,棕腹柳鶯,Phylloscopus subaffinis,無亞種分化,Buff-throated Warbler,柳鶯科 Phylloscopidae,迷,無,無,無,,
471,歐亞柳鶯,Phylloscopus trochilus,?,Willow Warbler,柳鶯科 Phylloscopidae,迷,無,無,無,,
472,嘰喳柳鶯,Phylloscopus collybita,?,Common Chiffchaff,柳鶯科 Phylloscopidae,迷,迷,迷,無,,
473,冠羽柳鶯,Phylloscopus coronatus,無亞種分化,Eastern Crowned Warbler,柳鶯科 Phylloscopidae,過、稀,過、稀,過、稀,過、稀,,
474,飯島柳鶯,Phylloscopus ijimae,無亞種分化,Ijima's Leaf Warbler,柳鶯科 Phylloscopidae,過、稀,過、稀,迷,無,,III
475,白眶鶲鶯,Phylloscopus intermedius,intermedius,White-spectacled Warbler,柳鶯科 Phylloscopidae,無,迷,迷,無,,
476,比氏鶲鶯,Phylloscopus valentini,?,Bianchi's Warbler,柳鶯科 Phylloscopidae,迷,迷,無,無,,
477,淡尾鶲鶯,Phylloscopus soror,無亞種分化,Alström's Warbler,柳鶯科 Phylloscopidae,無,迷,無,無,,
478,暗綠柳鶯,Phylloscopus trochiloides,?,Greenish Warbler,柳鶯科 Phylloscopidae,迷,無,迷,無,,
479,雙斑綠柳鶯,Phylloscopus plumbeitarsus,無亞種分化,Two-barred Warbler,柳鶯科 Phylloscopidae,迷,過、稀,過、稀,過、稀,,
480,淡腳柳鶯,Phylloscopus tenellipes,無亞種分化,Pale-legged Leaf Warbler,柳鶯科 Phylloscopidae,過、稀,過、稀,過、稀,過、稀,,
481,庫頁島柳鶯,Phylloscopus borealoides,無亞種分化,Sakhalin Leaf Warbler,柳鶯科 Phylloscopidae,過、稀,過、稀,過、稀,迷,,
482,日本柳鶯,Phylloscopus xanthodryas,無亞種分化,Japanese Leaf Warbler,柳鶯科 Phylloscopidae,?,?,?,?,,
483,極北柳鶯,Phylloscopus borealis,無亞種分化,Arctic Warbler,柳鶯科 Phylloscopidae,冬、普,冬、普,冬、稀/過、不普,冬、普/過、普,,
484,勘察加柳鶯,Phylloscopus examinandus,無亞種分化,Kamchatka Leaf Warbler,柳鶯科 Phylloscopidae,?,過、稀,迷,?,,
485,栗頭鶲鶯,Phylloscopus castaniceps,sinensis(?),Chestnut-crowned Warbler,柳鶯科 Phylloscopidae,迷,迷,無,無,,
486,黑眉柳鶯,Phylloscopus ricketti,無亞種分化,Sulphur-breasted Warbler,柳鶯科 Phylloscopidae,迷,過、稀,無,無,,
487,克氏冠紋柳鶯,Phylloscopus claudiae,無亞種分化,Claudia's Leaf Warbler,柳鶯科 Phylloscopidae,迷,過、稀,迷,無,,
488,哈氏冠紋柳鶯,Phylloscopus goodsoni,fokiensis,Hartert's Leaf Warbler,柳鶯科 Phylloscopidae,迷,過、稀,冬、稀,無,,
489,短尾鶯,Urosphena squameiceps,無亞種分化,Asian Stubtail,樹鶯科 Scotocercidae,冬、稀/過、稀,過、不普,冬、稀/過、稀,過、稀,,
490,棕面鶯,Abroscopus albogularis,fulvifacies,Rufous-faced Warbler,樹鶯科 Scotocercidae,留、普,過、稀,過、稀,無,,
491,日本樹鶯,Horornis diphone,"cantans, viridis",Japanese Bush Warbler,樹鶯科 Scotocercidae,冬、稀,過、稀,過、稀,無,,
492,遠東樹鶯,Horornis canturians,"borealis, canturians",Manchurian Bush Warbler,樹鶯科 Scotocercidae,冬、普,過、不普,冬、稀,冬、稀/過、不普,,
493,小鶯,Horornis fortipes,"robustipes, davidianus",Brownish-flanked Bush Warbler,樹鶯科 Scotocercidae,留、普,留、普,留、普/過、稀,無,含臺灣特有亞種(H. f. robustipes),
494,深山鶯,Horornis acanthizoides,concolor,Yellowish-bellied Bush Warbler,樹鶯科 Scotocercidae,留、普,無,無,無,臺灣特有亞種(H. a. concolor),
495,紅頭山雀,Aegithalos concinnus,concinnus,Black-throated Tit,長尾山雀科 Aegithalidae,留、普,留、普,迷,無,,
496,白喉林鶯,Curruca curruca,?,Lesser Whitethroat,鶯科 Sylviidae,迷,無,迷,無,,
497,漠地林鶯,Curruca nana,無亞種分化,Asian Desert Warbler,鶯科 Sylviidae,迷,無,無,無,,
498,褐頭花翼,Fulvetta formosana,無亞種分化,Taiwan Fulvetta,鶯科 Sylviidae,留、普,無,無,無,臺灣特有種,
499,黃羽鸚嘴,Suthora verreauxi,morrisoniana,Golden Parrotbill,鶯科 Sylviidae,留、稀,無,無,無,臺灣特有亞種(S. v. morrisoniana),
500,粉紅鸚嘴,Sinosuthora webbiana,bulomacha,Vinous-throated Parrotbill,鶯科 Sylviidae,留、普,無,無,無,臺灣特有亞種(S. w. bulomacha),
501,栗耳鳳眉,Staphida torqueola,無亞種分化,Indochinese Yuhina,繡眼科 Zosteropidae,無,迷,迷,無,,
502,冠羽畫眉,Yuhina brunneiceps,無亞種分化,Taiwan Yuhina,繡眼科 Zosteropidae,留、普,無,無,無,臺灣特有種,III
503,紅脇繡眼,Zosterops erythropleurus,無亞種分化,Chestnut-flanked White-eye,繡眼科 Zosteropidae,迷,迷,無,無,,
504,斯氏繡眼,Zosterops simplex,simplex,Swinhoe's White-eye,繡眼科 Zosteropidae,留、普,留、普,留、普,冬、不普/過、普,,
505,日菲繡眼,Zosterops japonicus,"japonicus, ?",Warbling White-eye,繡眼科 Zosteropidae,留、綠龜普/冬、稀,無,迷,無,,
506,低地繡眼,Zosterops meyeni,batanis,Lowland White-eye,繡眼科 Zosteropidae,留、蘭普,無,無,無,,
507,山紅頭,Cyanoderma ruficeps,praecognitum,Rufous-capped Babbler,畫眉科 Timaliidae,留、普,無,無,無,臺灣特有亞種(C. r. praecognitum),
508,小彎嘴,Pomatorhinus musicus,無亞種分化,Taiwan Scimitar-Babbler,畫眉科 Timaliidae,留、普,無,無,無,臺灣特有種,
509,大彎嘴,Erythrogenys erythrocnemis,無亞種分化,Black-necklaced Scimitar-Babbler,畫眉科 Timaliidae,留、普,無,無,無,臺灣特有種,
510,頭烏線,Schoeniparus brunneus,brunneus,Dusky Fulvetta,雀眉科 Pellorneidae ,留、普,無,無,無,臺灣特有亞種(S. b. brunneus),
511,繡眼畫眉,Alcippe morrisonia,無亞種分化,Morrison's Fulvetta,噪眉科 Leiothrichidae,留、普,無,無,無,臺灣特有種,
512,臺灣噪眉,Trochalopteron morrisonianum,無亞種分化,White-whiskered Laughingthrush,噪眉科 Leiothrichidae,留、普,無,無,無,臺灣特有種,
513,白耳畫眉,Heterophasia auricularis,無亞種分化,White-eared Sibia,噪眉科 Leiothrichidae,留、普,無,無,無,臺灣特有種,III
514,紋翼畫眉,Actinodura morrisoniana,無亞種分化,Taiwan Barwing,噪眉科 Leiothrichidae,留、普,無,無,無,臺灣特有種,III
515,黃胸藪眉,Liocichla steerii,無亞種分化,Steere's Liocichla,噪眉科 Leiothrichidae,留、普,無,無,無,臺灣特有種,III
516,大陸畫眉,Garrulax canorus,canorus,Chinese Hwamei,噪眉科 Leiothrichidae,引進種、不普,迷,留、普,無,,II
517,臺灣畫眉,Garrulax taewanus,無亞種分化,Taiwan Hwamei,噪眉科 Leiothrichidae,留、不普,無,無,無,臺灣特有種,II
518,黑喉噪眉,Pterorhinus chinensis,chinensis(?),Black-throated Laughingthrush,噪眉科 Leiothrichidae,引進種、局不普,無,無,無,,
519,白頰噪眉,Pterorhinus sannio,?,White-browed Laughingthrush,噪眉科 Leiothrichidae,引進種、局不普,無,無,無,,
520,黑臉噪眉,Pterorhinus perspicillatus,無亞種分化,Masked Laughingthrush,噪眉科 Leiothrichidae,無,無,迷,無,,
521,臺灣白喉噪眉,Pterorhinus ruficeps,無亞種分化,Rufous-crowned Laughingthrush,噪眉科 Leiothrichidae,留、稀,無,無,無,臺灣特有種,II
522,棕噪眉,Pterorhinus poecilorhynchus,無亞種分化,Rusty Laughingthrush,噪眉科 Leiothrichidae,留、不普,無,無,無,臺灣特有種,II
523,戴菊鳥,Regulus regulus,japonensis,Goldcrest,戴菊科 Regulidae,冬、稀/過、稀,過、稀,過、稀,迷,,
524,火冠戴菊鳥,Regulus goodfellowi,無亞種分化,Flamecrest,戴菊科 Regulidae,留、普,無,無,無,臺灣特有種,III
525,茶腹鳾,Sitta europaea,formosana,Eurasian Nuthatch,鳾科 Sittidae,留、普,無,無,無,臺灣特有亞種(S. e. formosana),
526,鷦鷯,Troglodytes troglodytes,taivanus,Eurasian Wren,鷦鷯科 Troglodytidae,留、普,無,無,無,臺灣特有亞種(T. t. taivanus),
527,河烏,Cinclus pallasii,pallasii,Brown Dipper,河烏科 Cinclidae,留、不普,無,無,無,,
528,亞洲輝椋鳥,Aplonis panayensis,?,Asian Glossy Starling,八哥科 Sturnidae,引進種、普,無,無,過、稀,,
529,歐洲椋鳥,Sturnus vulgaris,poltaratskyi,European Starling,八哥科 Sturnidae,冬、稀/過、稀,過、稀,冬、稀,過、稀,,
530,粉紅椋鳥,Pastor roseus,無亞種分化,Rosy Starling,八哥科 Sturnidae,迷,迷,迷,過、稀,,
531,北椋鳥,Agropsar sturninus,無亞種分化,Daurian Starling,八哥科 Sturnidae,過、稀,過、稀,過、稀,過、不普,,
532,小椋鳥,Agropsar philippensis,無亞種分化,Chestnut-cheeked Starling,八哥科 Sturnidae,過、稀,過、稀,過、稀,過、普,,
533,黑領椋鳥,Gracupica nigricollis,無亞種分化,Black-collared Starling,八哥科 Sturnidae,引進種、普,過、稀,留、不普,無,,
534,灰背椋鳥,Sturnia sinensis,無亞種分化,White-shouldered Starling,八哥科 Sturnidae,冬、不普,過、不普,夏、不普/冬、稀/過、不普,過、普,,
535,灰頭椋鳥,Sturnia malabarica,nemoricola,Chestnut-tailed Starling,八哥科 Sturnidae,引進種、不普,無,無,無,,
536,絲光椋鳥,Spodiopsar sericeus,無亞種分化,Red-billed Starling,八哥科 Sturnidae,冬、不普,過、普,冬、不普,冬、普/過、不普,,
537,灰椋鳥,Spodiopsar cineraceus,無亞種分化,White-cheeked Starling,八哥科 Sturnidae,冬、不普,過、不普,冬、不普,冬、稀/過、稀,,
538,家八哥,Acridotheres tristis,tristis,Common Myna,八哥科 Sturnidae,引進種、普,引進種、不普,引進種、稀,引進種、稀,,
539,白尾八哥,Acridotheres javanicus,無亞種分化,Javan Myna,八哥科 Sturnidae,引進種、普,引進種、稀,引進種、稀,無,,
540,八哥,Acridotheres cristatellus,"formosanus, cristatellus",Crested Myna,八哥科 Sturnidae,留、不普,留、普,留、普,引進種、稀,含臺灣特有亞種(A. c. formosanus),II
541,白氏地鶇,Zoothera aurea,"aurea, toratugumi",White's Thrush,鶇科 Turdidae,冬、普,冬、不普,冬、稀/過、稀,過、不普,,
542,虎斑地鶇,Zoothera dauma,dauma,Scaly Thrush,鶇科 Turdidae,留、稀,無,無,無,,
543,白眉地鶇,Geokichla sibirica,"sibirica, davisoni",Siberian Thrush,鶇科 Turdidae,過、稀,過、稀,過、稀,過、稀,,
544,橙頭地鶇,Geokichla citrina,?,Orange-headed Thrush,鶇科 Turdidae,迷,過、稀,無,無,,
545,寶興歌鶇,Turdus mupinensis,無亞種分化,Chinese Thrush,鶇科 Turdidae,迷,迷,無,無,,
546,中國黑鶇,Turdus mandarinus,mandarinus,Chinese Blackbird,鶇科 Turdidae,留、稀/冬、稀,過、不普,留、普,冬、稀/過、稀,,
547,白頭鶇,Turdus niveiceps,無亞種分化,Taiwan Thrush,鶇科 Turdidae,留、稀,無,無,無,臺灣特有種,II
548,烏灰鶇,Turdus cardis,無亞種分化,Japanese Thrush,鶇科 Turdidae,過、稀,過、稀,冬、稀/過、稀,過、稀,,
549,灰背鶇,Turdus hortulorum,無亞種分化,Gray-backed Thrush,鶇科 Turdidae,過、稀,過、稀,冬、稀/過、稀,迷,,
550,白眉鶇,Turdus obscurus,無亞種分化,Eyebrowed Thrush,鶇科 Turdidae,冬、不普,過、不普,冬、稀/過、不普,過、不普,,
551,赤腹鶇,Turdus chrysolaus,chrysolaus,Brown-headed Thrush,鶇科 Turdidae,冬、普,過、不普,冬、稀,冬、普,,
552,白腹鶇,Turdus pallidus,無亞種分化,Pale Thrush,鶇科 Turdidae,冬、普,過、不普,冬、不普,冬、普/過、普,,
553,黑頸鶇,Turdus atrogularis,無亞種分化,Black-throated Thrush,鶇科 Turdidae,迷,無,無,無,,
554,赤頸鶇,Turdus ruficollis,無亞種分化,Red-throated Thrush,鶇科 Turdidae,冬、稀,迷,迷,迷,,
555,斑點鶇,Turdus eunomus,無亞種分化,Dusky Thrush,鶇科 Turdidae,冬、不普,過、不普,冬、稀,冬、不普/過、稀,,
556,紅尾鶇,Turdus naumanni,無亞種分化,Naumann's Thrush,鶇科 Turdidae,冬、稀,過、不普,冬、稀,冬、稀/過、稀,,
557,灰斑鶲,Muscicapa griseisticta,無亞種分化,Gray-streaked Flycatcher,鶲科 Muscicapidae,過、不普,過、普,過、稀,過、普,,
558,烏鶲,Muscicapa sibirica,sibirica,Dark-sided Flycatcher,鶲科 Muscicapidae,過、稀,過、不普,過、稀,過、不普,,
559,紅尾鶲,Muscicapa ferruginea,無亞種分化,Ferruginous Flycatcher,鶲科 Muscicapidae,夏、不普,過、稀,過、稀,過、稀,,
560,寬嘴鶲,Muscicapa dauurica,dauurica,Asian Brown Flycatcher,鶲科 Muscicapidae,冬、稀/過、不普,過、普,過、不普,過、普,,
561,褐胸鶲,Muscicapa muttui,無亞種分化,Brown-breasted Flycatcher,鶲科 Muscicapidae,迷,迷,無,無,,
562,斑鶲,Muscicapa striata,mongola,Spotted Flycatcher,鶲科 Muscicapidae,迷,無,無,無,,
563,鵲鴝,Copsychus saularis,saularis,Oriental Magpie-Robin,鶲科 Muscicapidae,引進種、普,留、普,留、普,無,,
564,白腰鵲鴝,Copsychus malabaricus,?,White-rumped Shama,鶲科 Muscicapidae,引進種、普,無,無,無,,
565,海南藍仙鶲,Cyornis hainanus,hainanus,Hainan Blue Flycatcher,鶲科 Muscicapidae,迷,迷,過、稀,迷,,
566,中華藍仙鶲,Cyornis glaucicomans,無亞種分化,Chinese Blue Flycatcher,鶲科 Muscicapidae,迷,無,無,無,,
567,山藍仙鶲,Cyornis whitei,無亞種分化,Hill Blue Flycatcher,鶲科 Muscicapidae,無,迷,無,無,,
568,白喉林鶲,Cyornis brunneatus,無亞種分化,Brown-chested Jungle Flycatcher,鶲科 Muscicapidae,迷,迷,無,無,,
569,棕腹大仙鶲,Niltava davidi,無亞種分化,Fujian Niltava,鶲科 Muscicapidae,迷,無,無,無,,
570,棕腹仙鶲,Niltava sundara,denotata(?),Rufous-bellied Niltava,鶲科 Muscicapidae,迷,無,無,無,,
571,黃腹琉璃,Niltava vivida,無亞種分化,Taiwan Vivid Niltava,鶲科 Muscicapidae,留、普,無,無,無,臺灣特有種,III
572,白腹琉璃,Cyanoptila cyanomelana,cyanomelana,Blue-and-white Flycatcher,鶲科 Muscicapidae,過、稀,過、稀,過、稀,過、稀,,
573,琉璃藍鶲,Cyanoptila cumatilis,無亞種分化,Zappey's Flycatcher,鶲科 Muscicapidae,?,過、稀,?,無,,
574,銅藍鶲,Eumyias thalassinus,thalassinus,Verditer Flycatcher,鶲科 Muscicapidae,冬、稀,過、稀,過、稀,迷,,
575,白喉短翅鶇,Brachypteryx leucophris,carolinae,Lesser Shortwing,鶲科 Muscicapidae,無,無,過、稀,無,,
576,小翼鶇,Brachypteryx goodfellowi,無亞種分化,Taiwan Shortwing,鶲科 Muscicapidae,留、普,無,無,無,臺灣特有種,
